,index,username,score,category
206,59009,rebeccafloyd347,0.00159675,r
207,149864,Chi_Ebooks,0.00161425,r
208,1965,TheGreatStorm,0.00162033,r
209,104813,theminorchords,0.00162148,o
210,133890,PacifiCali68,0.00162825,r
211,108419,greenshrt_,0.00163627,o
212,56744,filmncir,0.00164545,r
213,118944,chasediamonds82,0.00165075,r
214,44301,orblinkss,0.00165559,o
215,114281,TimSquires11,0.00165792,r
216,103892,HalsNASAglass,0.00165897,o
217,118169,_SelRosa,0.00167339,o
218,8991,babypinktotebag,0.00167636,o
219,144673,_barsoom,0.00169196,o
220,32215,ed1950,0.00170321,r
221,71687,Dayntee,0.00171066,o
222,140127,irl_mahoushoujo,0.00171459,r
223,19576,R0B053V3IV,0.0017181,r
224,101386,kroschwitzsky,0.00172041,o
225,91082,DialHandSoap,0.00174076,r
226,146981,Oohbebaby,0.00174409,r
227,34018,YungChad92,0.00175897,r
228,57909,instaread_biz,0.00177932,o
229,121378,sid_thatsit,0.00178234,r
230,68540,WiiRareU,0.00178374,r
231,103294,_sabaru_,0.00178511,r
232,97822,epiphanytae,0.00179356,r
233,43566,terayul,0.00179521,r
234,119829,RiseAM_,0.00180178,o
235,79947,Socceroos,0.00180865,o
236,35564,_Liv4luv,0.00180879,o
237,79787,miguelecabrera,0.00181529,o
238,61362,Greg_4949,0.0018191,r
239,120526,Boilers32,0.00182679,r
240,41100,kazamareen,0.00183508,r
241,8052,FuckOffSamus,0.00183511,r
242,60165,maritstiles,0.00183946,o
243,80963,Gerardo95785521,0.00184673,o
244,70275,gradientfan,0.00185814,o
245,121039,reeseinthecup,0.00186096,o
246,99144,justericac,0.00186337,o
247,98387,Cu7iePie0913,0.00188167,o
248,81985,angstyghosts,0.00189129,o
249,15612,awy2016,0.00190065,r
250,11381,jackycwong,0.00190383,r
251,94995,Bridget77810460,0.00190625,o
252,26928,ScootRollUps,0.00191189,r
253,85935,rmstrash,0.00191214,o
254,96006,meganfisher225,0.0019123,r
255,67413,XxBl4kOuTxX,0.00192529,r
256,8208,rhcm123,0.00193261,o
257,48056,IanMCallander,0.00194626,o
258,121998,K0TAlBUSHI,0.00194792,r
259,85864,Dogger55,0.00195042,r
260,64825,DevinTanuvasa,0.00195205,o
261,14510,RiotzXVI,0.00195511,o
262,35092,anartdecodiva,0.00195608,o
263,133433,3LWAHHHH,0.00196104,r
264,112942,972MrBAM,0.00197056,r
265,74171,VC_Migs,0.00197617,r
266,48255,CulverCityPatch,0.00197926,o
267,21430,Sunrize70,0.00197948,r
268,81947,moviedouche,0.00198648,o
269,149609,gorrissey,0.00198708,r
270,124553,Helicrapter,0.00199173,o
271,105765,Madd_Villainy,0.00204252,r
272,102626,_arzia,0.00204312,o
273,51363,moose_ali,0.00205845,r
274,64411,scott_friswell,0.00206537,o
275,102991,theMCDADE,0.00207295,o
276,16255,NazarethKing,0.00207377,o
277,40474,disconosida1,0.00208477,o
278,102828,MonnyProbz,0.00211011,r
279,87322,troyesivans,0.00211304,r
280,97660,bud_fairy,0.00211421,o
281,92587,SavageJN24,0.00212123,o
282,108016,haveureadabook,0.0021617,o
283,70267,candace_lewis35,0.00216382,o
